inferences
1P_Custom_Amazon_Alexa/Echo_Streamers
1P_Custom_Cultural_Affinity_BHIN
1P_Custom_Cultural_Affinity_WHM
1P_Custom_Discovery_Streamers
1P_Custom_SquareSpace_showListeners_Package1
1P_Custom_SquareSpace_showListeners_Package2
1P_Custom_SquareSpace_showListeners_Package3
1P_Custom_Stress_Busters
1P_Custom_T-Mobile_Switchers
1P_Custom_Wrapped2019
1P_Custom_iPhone_11_Users
1P_Podcast Listeners_True Crime
1P_Social Streamers_Broad
1P_Social Streamers_Narrow
Riot Games Valorant Brand Exposure Audience
RiotGamesValorant_US_Q42020_Exposed 
SierraNevadaEvergreen_US_Q42020_Exposed 
dfp_expiration_test_krishna
podcast-audience-segmentation-rules-content-personal-science
podcast-audience-segmentation-rules-content-personal-stories
podcast-audience-segmentation-rules-content-pop-culture
podcast-audience-segmentation-rules-content-true-crime
podcast-audience-segmentation-rules-engagement-daypart-afternoon
podcast-audience-segmentation-rules-engagement-daypart-early-morning
podcast-audience-segmentation-rules-engagement-daypart-evening
podcast-audience-segmentation-rules-engagement-daypart-late-evening
podcast-audience-segmentation-rules-engagement-daypart-morning
podcast-audience-segmentation-rules-engagement-daypart-night
podcast-audience-segmentation-rules-engagement-device-desktop
podcast-audience-segmentation-rules-engagement-device-mobile
podcast-audience-segmentation-rules-engagement-device-speaker
podcast-audience-segmentation-rules-engagement-diversity-low
podcast-audience-segmentation-rules-engagement-frequency-low
podcast-audience-segmentation-rules-engagement-frequency-medium
podcast-audience-segmentation-rules-format-content-conversational
podcast-audience-segmentation-rules-format-length-long
podcast-audience-segmentation-rules-format-length-medium
podcast-audience-segmentation-rules-format-length-short
podcast-audience-segmentation-rules-format-non-fiction
podcast-audience-segmentation-rules-format-non-serialized
